good_key,product_group,cn_code,goods_description
7211-flat-rolled-products-of-iron-or-non-allo,Iron and steel,7211,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"", not clad, plated or coated"
72111300-flat-rolled-products-of-iron-or-non-allo,Iron and steel,7211 13 00,"Flat-rolled products of iron or non-alloy steel, simply hot-rolled on four faces or in a closed box pass, not clad, plated or coated, of a width of > 150 mm but < 600 mm and a thickness of >= 4 mm, not in coils, without patterns in relief, commonly known as ""wide flats"""
72111400-flat-rolled-products-of-iron-or-non-allo,Iron and steel,7211 14 00,"Flat-rolled products of iron or non-alloy steel, of a width < 600 mm, not further worked than hot-rolled, not clad, plated or coated, of a thickness of >= 4,75 mm (excl. ""wide flats"")"
72111900-flat-rolled-products-of-iron-or-non-allo,Iron and steel,7211 19 00,"Flat-rolled products of iron or non-alloy steel, of a width < 600 mm, simply hot-rolled, not clad, plated or coated, of a thickness < 4,75 mm (excl. ""wide flats"")"
721123-flat-rolled-products-of-iron-or-non-allo,Iron and steel,7211 23,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, simply cold-rolled ""cold-reduced"", not clad, plated or coated, containing by weight < 0,25% of carbon"
72112900-flat-rolled-products-of-iron-or-non-allo,Iron and steel,7211 29 00,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, simply cold-rolled ""cold-reduced"", not clad, plated or coated, containing by weight >= 0,25% of carbon"
721190-flat-rolled-products-of-iron-or-non-allo,Iron and steel,7211 90,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked, but not clad, plated or coated"
7212-flat-rolled-products-of-iron-or-non-allo,Iron and steel,7212,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"", clad, plated or coated"
7213-bars-and-rods-of-iron-or-non-alloy-steel,Iron and steel,7213,"Bars and rods of iron or non-alloy steel, hot-rolled, in irregularly wound coils"
7214-bars-and-rods-of-iron-or-non-alloy-steel,Iron and steel,7214,"Bars and rods, of iron or non-alloy steel, not further worked than forged, hot-rolled, hot-drawn or hot-extruded, but incl. those twisted after rolling (excl. in irregularly wound coils)"
72141000-bars-and-rods-of-iron-or-non-alloy-steel,Iron and steel,7214 10 00,"Bars and rods, of iron or non-alloy steel, not further worked than forged (excl. in irregularly wound coils)"
72142000-bars-and-rods-of-iron-or-non-alloy-steel,Iron and steel,7214 20 00,"Bars and rods, of iron or non-alloy steel, with indentations, ribs, groves or other deformations produced during the rolling process"
72143000-bars-and-rods-of-non-alloy-free-cutting,Iron and steel,7214 30 00,"Bars and rods, of non-alloy free-cutting steel, not further worked than hot-rolled, hot-drawn or hot-extruded (excl. containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling)"
721491-bars-and-rods-of-iron-or-non-alloy-steel,Iron and steel,7214 91,"Bars and rods, of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or hot-extruded, of rectangular ""other than square"" cross-section (excl. containing indentations, ribs, grooves or other deformations produced during the rolling process, bars and rods twisted after rolling and free-cutting steel)"
721499-bars-and-rods-of-iron-or-non-alloy-steel,Iron and steel,7214 99,"Bars and rods, of iron or non-alloy steel, only hot-rolled, only hot-drawn or only hot-extruded (excl. of rectangular [other than square] cross-section and those containing indentations, ribs, grooves or other deformations produced during the rolling process, and of non-alloy free-cutting steel)"
7215-bars-and-rods-of-iron-or-non-alloy-steel,Iron and steel,7215,"Bars and rods, of iron or non-alloy steel, cold-formed or cold-finished, whether or not further worked, or hot-formed and further worked, n.e.s."
7216-angles-shapes-and-sections-of-iron-or-no,Iron and steel,7216,"Angles, shapes and sections of iron or non-alloy steel, n.e.s."
7217-wire-of-iron-or-non-alloy-steel-in-coils,Iron and steel,7217,"Wire of iron or non-alloy steel, in coils (excl. bars and rods)"
721710-wire-of-iron-or-non-alloy-steel-in-coils,Iron and steel,7217 10,"Wire of iron or non-alloy steel, in coils, not plated or coated, whether or not polished (excl. bars and rods)"
721720-wire-of-iron-or-non-alloy-steel-in-coils,Iron and steel,7217 20,"Wire of iron or non-alloy steel, in coils, plated or coated with zinc (excl. bars and rods)"
721730-wire-of-iron-or-non-alloy-steel-in-coils,Iron and steel,7217 30,"Wire of iron or non-alloy steel, in coils, plated or coated with base metals (excl. plated or coated with zinc, and bars and rods)"
721790-wire-of-iron-or-non-alloy-steel-in-coils,Iron and steel,7217 90,"Wire of iron or non-alloy steel, in coils, plated or coated (excl. plated or coated with base metals, and bars and rods)"
7218-stainless-steel-in-ingots-or-other-prima,Iron and steel,7218,Stainless steel in ingots or other primary forms (excl. remelting scrap ingots and products obtained by continuous casting); semi-finished products of stainless steel
72181000-steel-stainless-in-ingots-and-other-prim,Iron and steel,7218 10 00,"Steel, stainless, in ingots and other primary forms (excl. waste and scrap in ingot form, and products obtained by continuous casting)"
721891-semi-finished-products-of-stainless-stee,Iron and steel,7218 91,"Semi-finished products of stainless steel, of rectangular ""other than square"" cross-section"
72189911-semi-finished-products-of-stainless-stee,Iron and steel,7218 99 11,"Semi-finished products of stainless steel, of square cross-section, rolled or obtained by continuous casting"
72189919-semi-finished-products-of-stainless-stee,Iron and steel,7218 99 19,"Semi-finished products of stainless steel, of square cross-section, forged"
72189920-semi-finished-products-of-stainless-stee,Iron and steel,7218 99 20,"Semi-finished products of stainless steel, of circular cross-section or of cross-section other than square or rectangular, rolled or obtained by continuous casting"
72189980-semi-finished-products-of-stainless-stee,Iron and steel,7218 99 80,"Semi-finished products of stainless steel, forged (excl. products of square or rectangular cross-section)"
